count	justification	examples
7	Accord net : codage cohérent avec la ligne programmatique générale du parti sur social / société.	PCF|Q14|2|https://www.pcf.fr/immigration_est_un_enjeu_de_classe || PCF|Q17|2|https://www.pcf.fr/immigration_est_un_enjeu_de_classe || Renaissance|Q14|2|https://parti-renaissance.fr/ || Renaissance|Q17|2|https://parti-renaissance.fr/ || MoDem|Q14|2|https://www.mouvementdemocrate.fr/ || MoDem|Q17|2|https://www.mouvementdemocrate.fr/ || Horizons|Q19|2|https://horizonsleparti.fr/le-manifeste/
6	Réserve : codage cohérent avec la ligne programmatique générale du parti sur social / société.	PS|Q19|-1|https://www.parti-socialiste.fr/pour_une_politique_migratoire_internationale_et_europeenne || LR|Q14|-1|https://republicains.fr/nos-idees/ || LR|Q17|-1|https://republicains.fr/nos-idees/ || Nouvelle Énergie|Q17|-1|https://www.unenouvelleenergie.fr/notre-programme/ || RN|Q14|-2|https://rassemblementnational.fr/livrets-thematiques || RN|Q17|-1|https://rassemblementnational.fr/livrets-thematiques
6	Accord net : la stratégie numérique permet d'estimer la priorité accordée à la souveraineté européenne par rapport au coût et à la performance. Niveau de preuve : faisceau d’indices cohérent, sans équivalent toujours parfaitement identique.	PS|Q93|2|https://parti-socialiste.fr/vie-parlementaire/notre-declaration-politique-17eme-legislature/ || MoDem|Q93|2|https://www.mouvementdemocrate.fr/ || Horizons|Q93|2|https://horizonsleparti.fr/le-manifeste/ || Allemagne|Q93|2|https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970 || Finlande|Q93|2|https://valtioneuvosto.fi/en/-/1410829/finland-among-top-eu-countries-in-digitalisation || Danemark|Q93|2|https://regeringen.dk/media/ohljoptp/digitaliseringspartnerskabets-rapport.pdf
6	Accord modéré : codage cohérent avec la ligne programmatique générale du parti sur écologie.	Renaissance|Q33|1|https://parti-renaissance.fr/ || Renaissance|Q36|1|https://parti-renaissance.fr/ || MoDem|Q33|1|https://www.mouvementdemocrate.fr/vers-une-transition-ecologique-solidaire-7925 || Horizons|Q33|1|https://horizonsleparti.fr/le-manifeste/ || Horizons|Q36|1|https://horizonsleparti.fr/le-manifeste/ || Horizons|Q68|1|https://horizonsleparti.fr/le-manifeste/
6	Accord net : la position est estimée à partir des propositions d'autonomie des établissements, de recrutement et de gestion des enseignants. Niveau de preuve : faisceau d’indices cohérent, sans équivalent toujours parfaitement identique.	Renaissance|Q84|2|https://ensemble-2024.fr/notre-projet || LR|Q84|2|https://republicains.fr/nos-idees/ || Allemagne|Q84|2|https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970 || Suisse|Q84|2|https://www.aboutswitzerland.eda.admin.ch/en/education || Finlande|Q84|2|https://valtioneuvosto.fi/en/governments/government-programme || Danemark|Q84|2|https://stm.dk/media/rc1ktdmg/det-politiske-grundlag-for-firkloeverregeringen.pdf
6	Accord fort : le vote ou la politique publique sur l'âge d'accès aux réseaux sociaux permet de distinguer interdiction stricte, autorisation parentale et régulation plus souple. Niveau de preuve : preuve directe ou politique explicitement documentée.	Renaissance|Q92|3|https://www.assemblee-nationale.fr/dyn/17/scrutins/8431 || MoDem|Q92|3|https://www.assemblee-nationale.fr/dyn/17/scrutins/8431 || Horizons|Q92|3|https://www.assemblee-nationale.fr/dyn/17/scrutins/8431 || LR|Q92|3|https://www.assemblee-nationale.fr/dyn/17/scrutins/8431 || Espagne|Q92|3|https://www.lamoncloa.gob.es/presidente/actividades/paginas/2026/030226-sanchez-cumbre-gobiernos-dubai.aspx || Royaume-Uni|Q92|3|https://www.gov.uk/government/news/social-media-to-be-banned-for-under-16s-in-landmark-government-move-to-givekids-their-childhood-back
6	Accord net : Le Conseil fédéral suit une économie sociale de marché relativement libérale, avec discipline budgétaire et protection sociale multipiliers. Position directement documentée.	Suisse|Q1|2|https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html || Suisse|Q8|2|https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html || Suisse|Q9|2|https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html || Suisse|Q46|2|https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html || Suisse|Q51|2|https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html || Suisse|Q55|2|https://www.bfs.admin.ch/bfs/en/home/statistics/cross-sectional-topics/monitoring-legislature-plan.html
6	Accord modéré : codage fondé sur les documents officiels retenus pour le thème « Économie ». Niveau de preuve : analogie prudente, sans proposition parfaitement équivalente.	Pays-Bas|Q2|1|https://www.government.nl/site/binaries/site-content/collections/documents/2026/02/23/2026-2030-coalition-agreement-lets-get-to-work---building-a-better-netherlands/2026-2030-coalition-agreement-let%E2%80%99s-get-to-work-building-a-better-netherlands.pdf || Pays-Bas|Q5|1|https://www.government.nl/site/binaries/site-content/collections/documents/2026/02/23/2026-2030-coalition-agreement-lets-get-to-work---building-a-better-netherlands/2026-2030-coalition-agreement-let%E2%80%99s-get-to-work-building-a-better-netherlands.pdf || Pays-Bas|Q7|1|https://www.government.nl/site/binaries/site-content/collections/documents/2026/02/23/2026-2030-coalition-agreement-lets-get-to-work---building-a-better-netherlands/2026-2030-coalition-agreement-let%E2%80%99s-get-to-work-building-a-better-netherlands.pdf || Pologne|Q2|1|https://www.gov.pl/web/primeminister/poland-a-year-of-breakthrough---the-prime-minister-unveils-polands-2025-economic-plan || Pologne|Q6|1|https://www.gov.pl/web/primeminister/poland-a-year-of-breakthrough---the-prime-minister-unveils-polands-2025-economic-plan || Pologne|Q7|1|https://www.gov.pl/web/primeminister/poland-a-year-of-breakthrough---the-prime-minister-unveils-polands-2025-economic-plan
5	Désaccord fort : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.	LFI|Q6|-3|https://lafranceinsoumise.fr/ || LFI|Q8|-3|https://lafranceinsoumise.fr/ || LFI|Q13|-3|https://lafranceinsoumise.fr/ || LFI|Q50|-3|https://lafranceinsoumise.fr/ || PCF|Q50|-3|https://www.pcf.fr/feuille_de_route_confnat_pcf
5	Accord fort : le scrutin sur la régulation du conventionnement médical fournit la position parlementaire la plus proche ; pour les formations non représentées, le codage est déduit de leur ligne sur la liberté d'installation. Niveau de preuve : preuve directe ou politique explicitement documentée.	LFI|Q81|3|https://www.assemblee-nationale.fr/dyn/17/scrutins/1214 || PCF|Q81|3|https://www.assemblee-nationale.fr/dyn/17/scrutins/1214 || Les Écologistes|Q81|3|https://www.assemblee-nationale.fr/dyn/17/scrutins/1214 || PS|Q81|3|https://www.assemblee-nationale.fr/dyn/17/scrutins/1214 || Allemagne|Q81|3|https://www.bundesgesundheitsministerium.de/fileadmin/Dateien/5_Publikationen/Ministerium/Berichte/Stand_und_Weiterentwicklung_der_gesetzlichen_Regelungen_zu_MVZ.pdf
5	Désaccord fort : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.	PCF|Q6|-3|https://www.pcf.fr/feuille_de_route_confnat_pcf || PCF|Q8|-3|https://www.pcf.fr/feuille_de_route_confnat_pcf || PCF|Q13|-3|https://www.pcf.fr/feuille_de_route_confnat_pcf || PCF|Q75|-3|https://www.pcf.fr/feuille_de_route_confnat_pcf || Nouvelle Énergie|Q16|-3|https://www.unenouvelleenergie.fr/notre-programme/
5	Désaccord net : codage cohérent avec la ligne programmatique générale du parti sur europe.	MoDem|Q39|-2|https://www.mouvementdemocrate.fr/ || MoDem|Q42|-2|https://www.mouvementdemocrate.fr/ || Horizons|Q39|-2|https://horizonsleparti.fr/le-manifeste/ || Horizons|Q42|-2|https://horizonsleparti.fr/le-manifeste/ || Reconquête|Q41|-2|https://www.parti-reconquete.fr/
5	Accord modéré : codage fondé sur les documents officiels retenus pour le thème « Institutions ». Niveau de preuve : analogie prudente, sans proposition parfaitement équivalente.	UDR|Q73|1|https://www.udr.fr/ || Pays-Bas|Q72|1|https://www.government.nl/site/binaries/site-content/collections/documents/2026/02/23/2026-2030-coalition-agreement-lets-get-to-work---building-a-better-netherlands/2026-2030-coalition-agreement-let%E2%80%99s-get-to-work-building-a-better-netherlands.pdf || Pays-Bas|Q73|1|https://www.government.nl/site/binaries/site-content/collections/documents/2026/02/23/2026-2030-coalition-agreement-lets-get-to-work---building-a-better-netherlands/2026-2030-coalition-agreement-let%E2%80%99s-get-to-work-building-a-better-netherlands.pdf || Pologne|Q72|1|https://www.gov.pl/web/primeminister/expose || Pologne|Q73|1|https://www.gov.pl/web/primeminister/expose
5	Réserve : La coalition PSOE–Sumar défend un État social renforcé, la redistribution, les droits du travail et une intervention publique active. Transposition ou inférence prudente.	Espagne|Q1|-1|https://www.lamoncloa.gob.es/Documents/2025/appendix-II-map-of-commitments-december.pdf || Espagne|Q2|-1|https://www.lamoncloa.gob.es/Documents/2025/appendix-II-map-of-commitments-december.pdf || Espagne|Q6|-1|https://www.lamoncloa.gob.es/Documents/2025/appendix-II-map-of-commitments-december.pdf || Espagne|Q8|-1|https://www.lamoncloa.gob.es/Documents/2025/appendix-II-map-of-commitments-december.pdf || Espagne|Q9|-1|https://www.lamoncloa.gob.es/Documents/2025/appendix-II-map-of-commitments-december.pdf
5	Accord net : Le gouvernement maintient une politique migratoire ferme, l’intégration et les retours, tout en respectant les conventions internationales et l’aide au développement. Transposition ou inférence prudente.	Danemark|Q21|2|https://stm.dk/media/rc1ktdmg/det-politiske-grundlag-for-firkloeverregeringen.pdf || Danemark|Q23|2|https://stm.dk/media/rc1ktdmg/det-politiske-grundlag-for-firkloeverregeringen.pdf || Danemark|Q25|2|https://stm.dk/media/rc1ktdmg/det-politiske-grundlag-for-firkloeverregeringen.pdf || Danemark|Q60|2|https://stm.dk/media/rc1ktdmg/det-politiske-grundlag-for-firkloeverregeringen.pdf || Danemark|Q61|2|https://stm.dk/media/rc1ktdmg/det-politiske-grundlag-for-firkloeverregeringen.pdf
4	Accord fort : codage cohérent avec la ligne programmatique générale du parti sur écologie.	LFI|Q36|3|https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf || PCF|Q36|3|https://www.pcf.fr/europe_le_programme_un_argumentaire_utile_aux_militants_et_un_outil_de_campagne_efficace || Les Écologistes|Q36|3|https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf || Reconquête|Q69|3|https://www.parti-reconquete.fr/
4	Accord fort : le programme de santé retenu permet d'estimer la place accordée à l'assurance publique et aux complémentaires. Niveau de preuve : preuve directe ou politique explicitement documentée.	LFI|Q82|3|https://lafranceinsoumise.fr/wp-content/uploads/2018/10/LIVRET-ContreBudget-1.pdf || PCF|Q82|3|https://www.pcf.fr/contrat_de_legislature_projet_propos_par_le_pcf || Royaume-Uni|Q82|3|https://www.gov.uk/government/publications/plan-for-change || Danemark|Q82|3|https://stm.dk/media/rc1ktdmg/det-politiske-grundlag-for-firkloeverregeringen.pdf
4	Accord net : la source retenue précise le degré de régulation souhaité pour les meublés touristiques et les pouvoirs locaux. Niveau de preuve : faisceau d’indices cohérent, sans équivalent toujours parfaitement identique.	LFI|Q86|2|https://lafranceinsoumise.fr/wp-content/uploads/2025/07/KIT-ARGU_VF.pdf || Allemagne|Q86|2|https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970 || Royaume-Uni|Q86|2|https://www.gov.uk/government/publications/plan-for-change || Danemark|Q86|2|https://stm.dk/media/rc1ktdmg/det-politiske-grundlag-for-firkloeverregeringen.pdf
4	Accord fort : le vote, la loi ou la position gouvernementale sur l'aide à mourir fournit un équivalent direct ou très proche. Niveau de preuve : preuve directe ou politique explicitement documentée.	LFI|Q89|3|https://www.assemblee-nationale.fr/dyn/17/scrutins/2107 || Les Écologistes|Q89|3|https://www.assemblee-nationale.fr/dyn/17/scrutins/2107 || PS|Q89|3|https://www.assemblee-nationale.fr/dyn/17/scrutins/2107 || Espagne|Q89|3|https://www.boe.es/buscar/act.php?id=BOE-A-2021-4628
4	Accord fort : estimation prudente ; aucune formulation parfaitement équivalente à la question n’a été identifiée.	PCF|Q28|2|https://www.pcf.fr/immigration_est_un_enjeu_de_classe || PCF|Q71|2|https://www.pcf.fr/europe_le_programme_un_argumentaire_utile_aux_militants_et_un_outil_de_campagne_efficace || Nouvelle Énergie|Q35|3|https://www.unenouvelleenergie.fr/notre-programme/ || Reconquête|Q64|3|https://www.parti-reconquete.fr/
4	Désaccord net : le document retenu permet d'arbitrer entre maintien de la proximité hospitalière et concentration des moyens. Niveau de preuve : faisceau d’indices cohérent, sans équivalent toujours parfaitement identique.	Les Écologistes|Q83|-2|https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf || PS|Q83|-2|https://parti-socialiste.fr/vie-parlementaire/notre-declaration-politique-17eme-legislature/ || RN|Q83|-2|https://rassemblementnational.fr/documents/202406-programme.pdf || Espagne|Q83|-2|https://www.lamoncloa.gob.es/Documents/2025/appendix-II-map-of-commitments-december.pdf
4	Accord modéré : codage cohérent avec la ligne programmatique générale du parti sur social / société.	Renaissance|Q19|1|https://parti-renaissance.fr/ || MoDem|Q19|1|https://www.mouvementdemocrate.fr/ || Horizons|Q14|1|https://horizonsleparti.fr/le-manifeste/ || Horizons|Q17|1|https://horizonsleparti.fr/le-manifeste/
4	Accord modéré : la source retenue précise le degré de régulation souhaité pour les meublés touristiques et les pouvoirs locaux. Niveau de preuve : estimation prudente à partir de la ligne générale.	Renaissance|Q86|1|https://ensemble-2024.fr/notre-projet || MoDem|Q86|1|https://www.mouvementdemocrate.fr/ || Suisse|Q86|1|https://www.aboutswitzerland.eda.admin.ch/en/political-system || Finlande|Q86|1|https://valtioneuvosto.fi/en/governments/government-programme
4	Désaccord net : codage cohérent avec la ligne programmatique générale du parti sur économie.	Horizons|Q3|-2|https://horizonsleparti.fr/le-manifeste/ || Horizons|Q5|-2|https://horizonsleparti.fr/le-manifeste/ || Reconquête|Q5|-2|https://www.parti-reconquete.fr/ || Reconquête|Q7|-2|https://www.parti-reconquete.fr/
4	Accord net : codage fondé sur les documents officiels retenus pour le thème « Social / société ». Niveau de preuve : position ou mesure explicitement documentée.	LFH|Q17|2|https://lafrancehumaniste.fr/articles/le-moment-francais-sorbonne.html || LFH|Q19|2|https://lafrancehumaniste.fr/articles/le-moment-francais-sorbonne.html || Pays-Bas|Q14|2|https://www.government.nl/site/binaries/site-content/collections/documents/2026/02/23/2026-2030-coalition-agreement-lets-get-to-work---building-a-better-netherlands/2026-2030-coalition-agreement-let%E2%80%99s-get-to-work-building-a-better-netherlands.pdf || Pays-Bas|Q17|2|https://www.government.nl/site/binaries/site-content/collections/documents/2026/02/23/2026-2030-coalition-agreement-lets-get-to-work---building-a-better-netherlands/2026-2030-coalition-agreement-let%E2%80%99s-get-to-work-building-a-better-netherlands.pdf
4	Réserve : codage cohérent avec la ligne programmatique générale du parti sur écologie.	LR|Q33|-1|https://republicains.fr/nos-idees/ || RN|Q36|-1|https://rassemblementnational.fr/documents/202411-programme-europeennes.pdf || Reconquête|Q36|-1|https://www.parti-reconquete.fr/ || Reconquête|Q67|-1|https://www.parti-reconquete.fr/
4	Désaccord net : codage fondé sur les documents officiels retenus pour le thème « Social / société ». Niveau de preuve : analogie prudente, sans proposition parfaitement équivalente.	UDR|Q14|-2|https://www.udr.fr/ || UDR|Q16|-2|https://www.udr.fr/ || UDR|Q17|-2|https://www.udr.fr/ || Pays-Bas|Q16|-2|https://www.government.nl/site/binaries/site-content/collections/documents/2026/02/23/2026-2030-coalition-agreement-lets-get-to-work---building-a-better-netherlands/2026-2030-coalition-agreement-let%E2%80%99s-get-to-work-building-a-better-netherlands.pdf
4	Position neutre, partagée ou non arrêtée : codage fondé sur les documents officiels retenus pour le thème « Écologie ». Niveau de preuve : analogie prudente, sans proposition parfaitement équivalente.	UDR|Q32|0|https://www.udr.fr/ || Pays-Bas|Q69|0|https://www.government.nl/site/binaries/site-content/collections/documents/2026/02/23/2026-2030-coalition-agreement-lets-get-to-work---building-a-better-netherlands/2026-2030-coalition-agreement-let%E2%80%99s-get-to-work-building-a-better-netherlands.pdf || Pologne|Q36|0|https://www.gov.pl/web/primeminister/poland-a-year-of-breakthrough---the-prime-minister-unveils-polands-2025-economic-plan || Pologne|Q37|0|https://www.gov.pl/web/primeminister/poland-a-year-of-breakthrough---the-prime-minister-unveils-polands-2025-economic-plan
4	Désaccord net : codage fondé sur les documents officiels retenus pour le thème « Écologie ». Niveau de preuve : analogie prudente, sans proposition parfaitement équivalente.	UDR|Q33|-2|https://www.udr.fr/ || UDR|Q36|-2|https://www.udr.fr/ || UDR|Q37|-2|https://www.udr.fr/ || UDR|Q68|-2|https://www.udr.fr/
4	Accord modéré : codage fondé sur les documents officiels retenus pour le thème « État / entreprises ». Niveau de preuve : analogie prudente, sans proposition parfaitement équivalente.	UDR|Q53|1|https://www.assemblee-nationale.fr/dyn/17/amendements/2247/CION_FIN/CF912 || Pays-Bas|Q53|1|https://www.government.nl/site/binaries/site-content/collections/documents/2026/02/23/2026-2030-coalition-agreement-lets-get-to-work---building-a-better-netherlands/2026-2030-coalition-agreement-let%E2%80%99s-get-to-work-building-a-better-netherlands.pdf || Pays-Bas|Q54|1|https://www.government.nl/site/binaries/site-content/collections/documents/2026/02/23/2026-2030-coalition-agreement-lets-get-to-work---building-a-better-netherlands/2026-2030-coalition-agreement-let%E2%80%99s-get-to-work-building-a-better-netherlands.pdf || Pologne|Q53|1|https://www.gov.pl/web/primeminister/poland-a-year-of-breakthrough---the-prime-minister-unveils-polands-2025-economic-plan
4	Accord net : L’accord CDU/CSU–SPD combine compétitivité, allègement administratif, investissement public et maintien de l’État social. Position directement documentée.	Allemagne|Q1|2|https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970 || Allemagne|Q9|2|https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970 || Allemagne|Q51|2|https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970 || Allemagne|Q55|2|https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970
4	Désaccord net : le programme social et sanitaire permet d'estimer la place laissée aux opérateurs lucratifs dans la dépendance. Niveau de preuve : faisceau d’indices cohérent, sans équivalent toujours parfaitement identique.	Allemagne|Q90|-2|https://www.bundesregierung.de/breg-de/aktuelles/koalitionsvertrag-2025-2340970 || Suisse|Q90|-2|https://www.bag.admin.ch/fr/soins-de-longue-duree || Finlande|Q90|-2|https://valtioneuvosto.fi/en/governments/government-programme || Royaume-Uni|Q90|-2|https://www.gov.uk/government/publications/plan-for-change
4	Accord fort : Le programme Orpo privilégie le travail, l’entrepreneuriat, la réduction du déficit, les réformes du marché du travail et la baisse des obstacles réglementaires. Position directement documentée.	Finlande|Q1|3|https://valtioneuvosto.fi/en/governments/government-programme || Finlande|Q9|3|https://valtioneuvosto.fi/en/governments/government-programme || Finlande|Q46|3|https://valtioneuvosto.fi/en/governments/government-programme || Finlande|Q51|3|https://valtioneuvosto.fi/en/governments/government-programme
4	Accord net : Le programme Orpo privilégie le travail, l’entrepreneuriat, la réduction du déficit, les réformes du marché du travail et la baisse des obstacles réglementaires. Transposition ou inférence prudente.	Finlande|Q2|2|https://valtioneuvosto.fi/en/governments/government-programme || Finlande|Q8|2|https://valtioneuvosto.fi/en/governments/government-programme || Finlande|Q13|2|https://valtioneuvosto.fi/en/governments/government-programme || Finlande|Q48|2|https://valtioneuvosto.fi/en/governments/government-programme
4	Position de compromis : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Transposition ou inférence prudente.	Royaume-Uni|Q1|0|https://www.gov.uk/government/publications/plan-for-change || Royaume-Uni|Q6|0|https://www.gov.uk/government/publications/plan-for-change || Royaume-Uni|Q8|0|https://www.gov.uk/government/publications/plan-for-change || Royaume-Uni|Q9|0|https://www.gov.uk/government/publications/plan-for-change
4	Accord net : Le gouvernement Labour combine croissance, investissement public, renforcement des droits du travail et discipline budgétaire modérée. Position directement documentée.	Royaume-Uni|Q5|2|https://www.gov.uk/government/publications/plan-for-change || Royaume-Uni|Q10|2|https://www.gov.uk/government/publications/plan-for-change || Royaume-Uni|Q53|2|https://www.gov.uk/government/publications/plan-for-change || Royaume-Uni|Q54|2|https://www.gov.uk/government/publications/plan-for-change
4	Accord modéré : Le système britannique conserve un exécutif fort, tout en développant la décentralisation et les pouvoirs locaux. Comparabilité limitée ou position peu explicite.	Royaume-Uni|Q72|1|https://www.gov.uk/government/news/prime-minister-pledges-growth-in-every-postcode-across-whole-of-uk-as-he-visits-scotland || Royaume-Uni|Q73|1|https://www.gov.uk/government/news/prime-minister-pledges-growth-in-every-postcode-across-whole-of-uk-as-he-visits-scotland || Royaume-Uni|Q76|1|https://www.gov.uk/government/news/prime-minister-pledges-growth-in-every-postcode-across-whole-of-uk-as-he-visits-scotland || Royaume-Uni|Q77|1|https://www.gov.uk/government/news/prime-minister-pledges-growth-in-every-postcode-across-whole-of-uk-as-he-visits-scotland
4	Accord modéré : codage fondé sur les documents officiels retenus pour le thème « État ». Niveau de preuve : analogie prudente, sans proposition parfaitement équivalente.	Pays-Bas|Q10|1|https://www.government.nl/site/binaries/site-content/collections/documents/2026/02/23/2026-2030-coalition-agreement-lets-get-to-work---building-a-better-netherlands/2026-2030-coalition-agreement-let%E2%80%99s-get-to-work-building-a-better-netherlands.pdf || Pays-Bas|Q12|1|https://www.government.nl/site/binaries/site-content/collections/documents/2026/02/23/2026-2030-coalition-agreement-lets-get-to-work---building-a-better-netherlands/2026-2030-coalition-agreement-let%E2%80%99s-get-to-work-building-a-better-netherlands.pdf || Pays-Bas|Q13|1|https://www.government.nl/site/binaries/site-content/collections/documents/2026/02/23/2026-2030-coalition-agreement-lets-get-to-work---building-a-better-netherlands/2026-2030-coalition-agreement-let%E2%80%99s-get-to-work-building-a-better-netherlands.pdf || Pologne|Q12|1|https://www.gov.pl/web/primeminister/poland-a-year-of-breakthrough---the-prime-minister-unveils-polands-2025-economic-plan
4	Accord net : codage fondé sur les documents officiels retenus pour le thème « Immigration / assimilation ». Niveau de preuve : position ou mesure explicitement documentée.	Pays-Bas|Q57|2|https://www.government.nl/site/binaries/site-content/collections/documents/2026/02/23/2026-2030-coalition-agreement-lets-get-to-work---building-a-better-netherlands/2026-2030-coalition-agreement-let%E2%80%99s-get-to-work-building-a-better-netherlands.pdf || Pologne|Q57|2|https://www.gov.pl/web/primeminister/taking-back-control-ensuring-security || Pologne|Q58|2|https://www.gov.pl/web/primeminister/taking-back-control-ensuring-security || Pologne|Q60|2|https://www.gov.pl/web/primeminister/taking-back-control-ensuring-security
3	Désaccord net : codage cohérent avec la ligne programmatique générale du parti sur social / société.	LFI|Q19|-2|https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf || Reconquête|Q14|-2|https://www.parti-reconquete.fr/ || Reconquête|Q17|-2|https://www.parti-reconquete.fr/
3	Accord fort : la position est estimée à partir des propositions sur l'enseignement privé, son financement et la mixité sociale. Niveau de preuve : faisceau d’indices cohérent, sans équivalent toujours parfaitement identique.	LFI|Q85|3|https://lafranceinsoumise.fr/wp-content/uploads/2024/06/Programme-nouveaufrontpopulaire.pdf || PCF|Q85|3|https://www.pcf.fr/feuille_de_route_confnat_pcf || Les Écologistes|Q85|3|https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf
3	Accord fort : codage cohérent avec la ligne programmatique générale du parti sur état / entreprises.	PCF|Q53|3|https://www.pcf.fr/feuille_de_route_confnat_pcf || Les Écologistes|Q53|3|https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf || PS|Q53|3|https://parti-socialiste.fr/vie-parlementaire/notre-declaration-politique-17eme-legislature/
3	Accord fort : codage cohérent avec la ligne programmatique générale du parti sur immigration / assimilation.	PCF|Q59|3|https://www.pcf.fr/immigration_est_un_enjeu_de_classe || Reconquête|Q57|3|https://www.parti-reconquete.fr/ || Reconquête|Q60|3|https://www.parti-reconquete.fr/
3	Désaccord fort : la source retenue porte sur l'extension européenne de la dissuasion ou, pour les pays non dotés, sur la protection nucléaire alliée. Niveau de preuve : preuve directe ou politique explicitement documentée.	PCF|Q88|-3|https://www.pcf.fr/impasse_dangereuse_du_federalisme_nucleaire_de_macron || RN|Q88|-3|https://rassemblementnational.fr/communiques/la-dissuasion-engage-la-nation-elle-ne-se-delegue-pas || Suisse|Q88|-3|https://www.eda.admin.ch/en/foreign-policy-strategy-2024-27
3	Accord net : le vote, la loi ou la position gouvernementale sur l'aide à mourir fournit un équivalent direct ou très proche. Niveau de preuve : preuve directe ou politique explicitement documentée.	PCF|Q89|2|https://www.assemblee-nationale.fr/dyn/17/scrutins/2107 || Renaissance|Q89|2|https://www.assemblee-nationale.fr/dyn/17/scrutins/2107 || Suisse|Q89|2|https://www.bag.admin.ch/fr/suicide-assiste
3	Accord net : la stratégie numérique permet d'estimer la priorité accordée à la souveraineté européenne par rapport au coût et à la performance. Niveau de preuve : preuve directe ou politique explicitement documentée.	Les Écologistes|Q93|2|https://lesecologistes.fr/document/5ZhR2m5t2ZaGKqIdD1bJaD/vdef-programme-1.pdf || Renaissance|Q93|2|https://ensemble-2024.fr/notre-projet || Espagne|Q93|2|https://www.lamoncloa.gob.es/consejodeministros/resumenes/Documents/2026/240226-soberania-digital.pdf
3	Position équilibrée ou non tranchée : sources officielles et prises de position convergentes ; le niveau de confiance documentaire a été réévalué indépendamment de l’intensité de la réponse.	PS|Q2|0|https://parti-socialiste.fr/vie-parlementaire/notre-declaration-politique-17eme-legislature/ || PS|Q16|0|https://www.parti-socialiste.fr/pour_une_politique_migratoire_internationale_et_europeenne || PS|Q35|0|https://parti-socialiste.fr/vie-parlementaire/notre-declaration-politique-17eme-legislature/
3	Désaccord net : le modèle de prestations familiales et la ligne programmatique permettent d'estimer la préférence pour l'universalité ou le ciblage. Niveau de preuve : faisceau d’indices cohérent, sans équivalent toujours parfaitement identique.	PS|Q91|-2|https://parti-socialiste.fr/vie-parlementaire/notre-declaration-politique-17eme-legislature/ || Renaissance|Q91|-2|https://ensemble-2024.fr/notre-projet || Espagne|Q91|-2|https://www.lamoncloa.gob.es/Documents/2025/appendix-II-map-of-commitments-december.pdf
3	Accord modéré : codage cohérent avec la ligne programmatique générale du parti sur état / entreprises.	Renaissance|Q53|1|https://parti-renaissance.fr/ || Horizons|Q53|1|https://horizonsleparti.fr/le-manifeste/ || Nouvelle Énergie|Q53|1|https://www.unenouvelleenergie.fr/notre-programme/
3	Accord net : le document retenu permet d'arbitrer entre maintien de la proximité hospitalière et concentration des moyens. Niveau de preuve : faisceau d’indices cohérent, sans équivalent toujours parfaitement identique.	Renaissance|Q83|2|https://ensemble-2024.fr/notre-projet || Horizons|Q83|2|https://horizonsleparti.fr/le-manifeste/ || Finlande|Q83|2|https://julkaisut.valtioneuvosto.fi/bitstreams/5dde1895-fdb4-43d3-92d8-cef8db1de92d/download
3	Accord modéré : la position est estimée à partir des propositions sur l'enseignement privé, son financement et la mixité sociale. Niveau de preuve : estimation prudente à partir de la ligne générale.	Renaissance|Q85|1|https://ensemble-2024.fr/notre-projet || Finlande|Q85|1|https://valtioneuvosto.fi/en/governments/government-programme || Danemark|Q85|1|https://stm.dk/media/rc1ktdmg/det-politiske-grundlag-for-firkloeverregeringen.pdf
